ts,open,high,low,close,volume
2024-11-19,22585.0,22975.0,22544.0,22813.0,269368
2024-11-20,22813.0,22955.0,22496.0,22617.0,208812
2024-11-21,22618.0,22773.0,22393.0,22672.0,353783
2024-11-22,22673.0,23137.0,22650.0,23045.0,272522
2024-11-23,23045.0,23087.0,22995.0,23050.0,18010
2024-11-25,23252.0,23285.0,22802.0,22847.0,203837
2024-11-26,22846.0,22888.0,22493.0,22690.0,250309
2024-11-27,22690.0,22708.0,22191.0,22226.0,257123
2024-11-28,22224.0,22385.0,22049.0,22203.0,235592
2024-11-29,22205.0,22508.0,22003.0,22503.0,268005
2024-11-30,22503.0,22580.0,22500.0,22550.0,25734
2024-12-02,22531.0,23050.0,22498.0,23015.0,190179
2024-12-03,23015.0,23186.0,22936.0,22993.0,243229
2024-12-04,22993.0,23330.0,22987.0,23298.0,205953
2024-12-05,23299.0,23365.0,23210.0,23342.0,168047
2024-12-06,23342.0,23454.0,23135.0,23252.0,222057
2024-12-07,23253.0,23272.0,23191.0,23258.0,21551
2024-12-09,23203.0,23477.0,23170.0,23338.0,184874
2024-12-10,23338.0,23362.0,22974.0,22986.0,237150
2024-12-11,22987.0,23055.0,22800.0,22935.0,220574
2024-12-12,22939.0,23211.0,22850.0,22933.0,225394
2024-12-13,22932.0,23226.0,22884.0,23086.0,216445
2024-12-14,23084.0,23156.0,23026.0,23144.0,30163
2024-12-16,23217.0,23269.0,22946.0,23005.0,192301
2024-12-17,23005.0,23214.0,22837.0,22907.0,195626
2024-12-18,22908.0,23386.0,22891.0,23364.0,183535
2024-12-19,23362.0,23372.0,22602.0,22864.0,295221
2024-12-20,22862.0,22906.0,22520.0,22815.0,276281
2024-12-21,22816.0,22965.0,22809.0,22896.0,41526
2024-12-23,22898.0,23295.0,22897.0,23210.0,195869
2024-12-24,23208.0,23450.0,23189.0,23324.0,176312
2024-12-25,23325.0,23420.0,23242.0,23387.0,101083
2024-12-26,23387.0,23400.0,23207.0,23285.0,135604
2024-12-27,23285.0,23395.0,23090.0,23174.0,172382
2024-12-28,23173.0,23232.0,23115.0,23210.0,30325
2024-12-30,23209.0,23322.0,22921.0,22982.0,155991
2024-12-31,22982.0,23167.0,22956.0,23079.0,178738
2025-01-01,23079.0,23093.0,22932.0,22983.0,33204
2025-01-02,22939.0,22997.0,22690.0,22944.0,225542
